relative_time,NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX,action
5.030208349227905,"(0.35236656665802, 0.4723239839076996, -0.3300406336784363, 0.9999969601631165)","(0.35759592056274414, 0.4520561993122101, -0.3131282329559326, 0.9999937415122986)","(0.36098718643188477, 0.45176705718040466, -0.31313663721084595, 0.9999933242797852)","(0.3642140030860901, 0.4518123269081116, -0.3132295310497284, 0.9999924302101135)","(0.34712234139442444, 0.45207124948501587, -0.317487895488739, 0.9999934434890747)","(0.3427324891090393, 0.451577365398407, -0.3175741136074066, 0.9999934434890747)","(0.3380393385887146, 0.450967013835907, -0.31757742166519165, 0.9999932050704956)","(0.3665974736213684, 0.4550734758377075, -0.21194562315940857, 0.9999865889549255)","(0.3286131024360657, 0.45217040181159973, -0.22856764495372772, 0.9999920725822449)","(0.3575820326805115, 0.48819655179977417, -0.29100632667541504, 0.999998927116394)","(0.345417320728302, 0.4883158802986145, -0.29585906863212585, 0.9999990463256836)","(0.3882353901863098, 0.5439677834510803, -0.14245596528053284, 0.9999914765357971)","(0.29182684421539307, 0.5345696210861206, -0.18995948135852814, 0.9999586343765259)","(0.4223215579986572, 0.6576576828956604, -0.17528367042541504, 0.9943233728408813)","(0.2602042853832245, 0.6646754145622253, -0.22314400970935822, 0.996807873249054)","(0.39709216356277466, 0.7261117100715637, -0.29477113485336304, 0.9837488532066345)","(0.31339386105537415, 0.7025985717773438, -0.29162874817848206, 0.976959228515625)","(0.3882151246070862, 0.7523123025894165, -0.33123067021369934, 0.9641093611717224)","(0.32437342405319214, 0.7389644980430603, -0.32207852602005005, 0.9456457495689392)","(0.3778335154056549, 0.7372626662254333, -0.33132049441337585, 0.9650619029998779)","(0.33387646079063416, 0.7281078696250916, -0.3220386505126953, 0.9455581307411194)","(0.3772777020931244, 0.7272975444793701, -0.29666224122047424, 0.9544647336006165)","(0.33286532759666443, 0.7182524800300598, -0.29081830382347107, 0.9278118014335632)","(0.3510774075984955, 0.7199978232383728, 0.001521855709142983, 0.999917209148407)","(0.298012375831604, 0.7184864282608032, -0.0015529765514656901, 0.9999151229858398)","(0.39730745553970337, 0.7134477496147156, -0.26367121934890747, 0.9941553473472595)","(0.259331613779068, 0.7500069737434387, -0.28925570845603943, 0.9824354648590088)","(0.3700673580169678, 0.8359611630439758, -0.025959093123674393, 0.9686122536659241)","(0.2899676263332367, 0.8464343547821045, -0.032659053802490234, 0.716124951839447)","(0.3585149943828583, 0.8443218469619751, -0.0036610320676118135, 0.8629332184791565)","(0.3029164671897888, 0.8510344624519348, -0.0072571286000311375, 0.6221199631690979)","(0.37473264336586, 0.9009893536567688, -0.07513441145420074, 0.954469621181488)","(0.2867155969142914, 0.9198368787765503, -0.07785096764564514, 0.7096657156944275)",CROUCH
5.129512071609497,"(0.34302255511283875, 0.476556658744812, -0.2758462727069855, 0.9999969005584717)","(0.3474245071411133, 0.457144558429718, -0.2593967318534851, 0.999993622303009)","(0.35061803460121155, 0.45676279067993164, -0.2594030499458313, 0.9999933242797852)","(0.35345926880836487, 0.45657551288604736, -0.25947803258895874, 0.999992311000824)","(0.33713316917419434, 0.4574801027774811, -0.2642134726047516, 0.9999932646751404)","(0.3323967754840851, 0.45711076259613037, -0.2643076777458191, 0.9999934434890747)","(0.3276306390762329, 0.45670318603515625, -0.26428595185279846, 0.9999931454658508)","(0.3556988537311554, 0.46019092202186584, -0.16274394094944, 0.9999871850013733)","(0.3188459277153015, 0.4606021046638489, -0.18083198368549347, 0.999992311000824)","(0.34788861870765686, 0.49222713708877563, -0.2385426014661789, 0.999998927116394)","(0.33625125885009766, 0.49309074878692627, -0.2438628375530243, 0.9999990463256836)","(0.3791319727897644, 0.5435625910758972, -0.10107044130563736, 0.9999915957450867)","(0.2817379832267761, 0.5450710654258728, -0.14854511618614197, 0.9999536871910095)","(0.42143163084983826, 0.6548481583595276, -0.11155043542385101, 0.9946370720863342)","(0.25236156582832336, 0.6719476580619812, -0.16735775768756866, 0.9968633651733398)","(0.39127400517463684, 0.7220725417137146, -0.2111910581588745, 0.9845492243766785)","(0.312628835439682, 0.7070531845092773, -0.2252979278564453, 0.9784153699874878)","(0.38180333375930786, 0.751857340335846, -0.2433076798915863, 0.9650228023529053)","(0.32587307691574097, 0.7421888709068298, -0.25636616349220276, 0.9487701654434204)","(0.3717944324016571, 0.7370353937149048, -0.24779534339904785, 0.9659190773963928)","(0.3337213695049286, 0.7307458519935608, -0.2584189772605896, 0.9485715627670288)","(0.3715452551841736, 0.72661292552948, -0.2143521010875702, 0.9557260274887085)","(0.3320872187614441, 0.7211777567863464, -0.2252112179994583, 0.9312219619750977)","(0.34775903820991516, 0.7236350178718567, 0.0007255632663145661, 0.9999027252197266)","(0.2952648401260376, 0.7219123244285583, -0.0006880790460854769, 0.9998996257781982)","(0.3963901102542877, 0.7126557230949402, -0.26638326048851013, 0.9943088293075562)","(0.2533707022666931, 0.7475114464759827, -0.28102272748947144, 0.9837185144424438)","(0.3675253987312317, 0.841971755027771, -0.04969479888677597, 0.9698315262794495)","(0.28911465406417847, 0.8548543453216553, -0.08071325719356537, 0.7435809969902039)","(0.35481980443000793, 0.852100133895874, -0.032841842621564865, 0.8702815175056458)","(0.3027028441429138, 0.8624653220176697, -0.0617644377052784, 0.6551358699798584)","(0.3755657970905304, 0.9017032384872437, -0.11238548904657364, 0.9563965201377869)","(0.28455257415771484, 0.926385760307312, -0.14460040628910065, 0.7370208501815796)",CROUCH
5.229754209518433,"(0.33494848012924194, 0.4731447994709015, -0.3040454685688019, 0.9999961256980896)","(0.33903250098228455, 0.4534665048122406, -0.29177126288414, 0.9999914765357971)","(0.3423321843147278, 0.45301827788352966, -0.29175806045532227, 0.9999917149543762)","(0.34534960985183716, 0.4528018534183502, -0.2918132543563843, 0.9999901056289673)","(0.32777008414268494, 0.4538012146949768, -0.29562780261039734, 0.9999911189079285)","(0.32237955927848816, 0.4534682333469391, -0.29568058252334595, 0.9999920129776001)","(0.3171809911727905, 0.45330098271369934, -0.2956722676753998, 0.9999913573265076)","(0.34792959690093994, 0.45644134283065796, -0.19794979691505432, 0.9999857544898987)","(0.3086490333080292, 0.4584486782550812, -0.21664480865001678, 0.9999908804893494)","(0.34026414155960083, 0.48901695013046265, -0.2690277695655823, 0.9999986886978149)","(0.3269765377044678, 0.4913667142391205, -0.2751147747039795, 0.9999986290931702)","(0.37073713541030884, 0.5431803464889526, -0.1346113234758377, 0.9999905228614807)","(0.2738698124885559, 0.5427795648574829, -0.17980942130088806, 0.9999309182167053)","(0.41813668608665466, 0.6465907692909241, -0.13908617198467255, 0.9948084354400635)","(0.25041890144348145, 0.6758852601051331, -0.22102081775665283, 0.9964798092842102)","(0.38318631052970886, 0.7219914793968201, -0.25465989112854004, 0.9841016530990601)","(0.3155858516693115, 0.7353174686431885, -0.25468260049819946, 0.9780690670013428)","(0.372401624917984, 0.7538238763809204, -0.28670185804367065, 0.9622947573661804)","(0.3312501609325409, 0.7619635462760925, -0.28219255805015564, 0.9477981925010681)","(0.3612181544303894, 0.7420656681060791, -0.29095640778541565, 0.9630728960037231)","(0.3387325704097748, 0.7534165382385254, -0.29409584403038025, 0.9472728371620178)","(0.36085712909698486, 0.7320627570152283, -0.2577304244041443, 0.9528204202651978)","(0.3362187445163727, 0.7440431118011475, -0.2590477466583252, 0.9288668036460876)","(0.34323006868362427, 0.7169183492660522, 0.0007464865338988602, 0.9999004602432251)","(0.28979334235191345, 0.719636082649231, -0.000709354120772332, 0.9998947381973267)","(0.3975183069705963, 0.709411084651947, -0.2684023678302765, 0.9943807125091553)","(0.25220024585723877, 0.7496703267097473, -0.2926827669143677, 0.9845044612884521)","(0.3642613887786865, 0.8412774801254272, -0.052121601998806, 0.9698643088340759)","(0.28747737407684326, 0.8512741923332214, -0.03953766077756882, 0.7662103176116943)","(0.35235917568206787, 0.8505430221557617, -0.03316584974527359, 0.871648371219635)","(0.29922473430633545, 0.8560152053833008, -0.014509079977869987, 0.6773477792739868)","(0.3756537437438965, 0.9023388624191284, -0.11229003965854645, 0.9565430879592896)","(0.2838430404663086, 0.923674464225769, -0.08526837080717087, 0.7590368986129761)",CROUCH
5.327562570571899,"(0.3250500559806824, 0.47494715452194214, -0.32014772295951843, 0.9999954104423523)","(0.3300814926624298, 0.4536644518375397, -0.3033486604690552, 0.9999897480010986)","(0.3339271545410156, 0.4529329538345337, -0.30334946513175964, 0.9999900460243225)","(0.33749255537986755, 0.4524068534374237, -0.30341988801956177, 0.9999880194664001)","(0.31862303614616394, 0.4546241760253906, -0.3091835379600525, 0.9999896287918091)","(0.31386303901672363, 0.4543914496898651, -0.3092515468597412, 0.9999908208847046)","(0.30893653631210327, 0.45434850454330444, -0.3092407286167145, 0.999989926815033)","(0.34062904119491577, 0.45515501499176025, -0.21478882431983948, 0.9999834299087524)","(0.2992660105228424, 0.4589312672615051, -0.22514209151268005, 0.9999895691871643)","(0.33115100860595703, 0.4921844005584717, -0.28209608793258667, 0.9999985694885254)","(0.3174865245819092, 0.49432259798049927, -0.2888755202293396, 0.9999985098838806)","(0.36379802227020264, 0.5403711795806885, -0.16223207116127014, 0.9999895095825195)","(0.2670014500617981, 0.5412922501564026, -0.20438191294670105, 0.9999297261238098)","(0.4087887406349182, 0.6463909149169922, -0.19003143906593323, 0.994941234588623)","(0.25382691621780396, 0.6783509850502014, -0.24502280354499817, 0.9960961937904358)","(0.37041404843330383, 0.7508425116539001, -0.26723459362983704, 0.9840909242630005)","(0.313344806432724, 0.7698867917060852, -0.27347955107688904, 0.9774197936058044)","(0.3655434548854828, 0.7943093776702881, -0.29960447549819946, 0.9610973000526428)","(0.32767221331596375, 0.8147302269935608, -0.3031834065914154, 0.9461169838905334)","(0.3521959185600281, 0.7911873459815979, -0.3065630793571472, 0.9618285298347473)","(0.3354858458042145, 0.8054006099700928, -0.305752158164978, 0.9454319477081299)","(0.35060757398605347, 0.7783222794532776, -0.27167946100234985, 0.951876163482666)","(0.33398622274398804, 0.7917113304138184, -0.27331623435020447, 0.926995575428009)","(0.34133315086364746, 0.7188803553581238, 0.0014684887137264013, 0.9998959898948669)","(0.2882084250450134, 0.7218986749649048, -0.0014281991170719266, 0.9998916387557983)","(0.39825543761253357, 0.7067095041275024, -0.26306185126304626, 0.9934035539627075)","(0.24660277366638184, 0.750115692615509, -0.28611862659454346, 0.9840973019599915)","(0.35807329416275024, 0.8406049013137817, -0.07919053733348846, 0.9665826559066772)","(0.2867473363876343, 0.850009560585022, -0.06580968201160431, 0.783856213092804)","(0.34702545404434204, 0.849640429019928, -0.06300931423902512, 0.8704204559326172)","(0.29570406675338745, 0.8541384339332581, -0.04414904862642288, 0.6944971680641174)","(0.37560397386550903, 0.9018473029136658, -0.14183339476585388, 0.9535444378852844)","(0.2837105393409729, 0.9223134517669678, -0.11275218427181244, 0.7762783169746399)",CROUCH
5.425442218780518,"(0.3182879090309143, 0.4862864315509796, -0.35128524899482727, 0.9999945759773254)","(0.3231427073478699, 0.46317800879478455, -0.3386833667755127, 0.9999880194664001)","(0.32683897018432617, 0.4614415168762207, -0.33868208527565, 0.9999880194664001)","(0.3301370441913605, 0.46015918254852295, -0.338767945766449, 0.9999861717224121)","(0.3116665780544281, 0.4666990041732788, -0.3409683108329773, 0.9999881982803345)","(0.30765289068222046, 0.46720945835113525, -0.3410595655441284, 0.9999891519546509)","(0.3034740388393402, 0.46775996685028076, -0.3410671055316925, 0.9999881982803345)","(0.3330514430999756, 0.46015018224716187, -0.24834541976451874, 0.9999801516532898)","(0.2939121425151825, 0.46989893913269043, -0.2561285197734833, 0.9999877214431763)","(0.32490354776382446, 0.5019307136535645, -0.31485098600387573, 0.9999983310699463)","(0.31126293540000916, 0.5051183700561523, -0.31745320558547974, 0.9999983310699463)","(0.36047887802124023, 0.5404115319252014, -0.20113694667816162, 0.9999863505363464)","(0.26181837916374207, 0.5521075129508972, -0.2315317690372467, 0.9999277591705322)","(0.3935447931289673, 0.6617965698242188, -0.2392171323299408, 0.9947679042816162)","(0.2568291425704956, 0.6908678412437439, -0.27723428606987, 0.9953332543373108)","(0.36195147037506104, 0.7889635562896729, -0.31973397731781006, 0.983279824256897)","(0.3095400929450989, 0.7969269752502441, -0.32732659578323364, 0.9745447039604187)","(0.3598734438419342, 0.8333907127380371, -0.3568793833255768, 0.9587522745132446)","(0.32172077894210815, 0.8389838337898254, -0.3611887991428375, 0.9406095743179321)","(0.34601283073425293, 0.8284939527511597, -0.3652651309967041, 0.9595438838005066)","(0.3320547342300415, 0.8335729241371155, -0.36723893880844116, 0.9396337866783142)","(0.34369519352912903, 0.8170517086982727, -0.32493171095848083, 0.9494354724884033)","(0.32944434881210327, 0.8205106854438782, -0.329964816570282, 0.9202449917793274)","(0.34228163957595825, 0.7279504537582397, 0.0027943800669163465, 0.9998864531517029)","(0.28820306062698364, 0.7332628965377808, -0.0027423747815191746, 0.999889612197876)","(0.40206995606422424, 0.7096773982048035, -0.2599281668663025, 0.9910233020782471)","(0.24151186645030975, 0.7517611980438232, -0.3045229911804199, 0.983124315738678)","(0.3565484881401062, 0.8493275046348572, -0.07676093280315399, 0.9592975974082947)","(0.28842052817344666, 0.8565964698791504, -0.07030517607927322, 0.7975856065750122)","(0.34532466530799866, 0.8576214909553528, -0.05701811984181404, 0.8688617944717407)","(0.29734212160110474, 0.8632041215896606, -0.04724590480327606, 0.7078072428703308)","(0.3767016530036926, 0.9017425775527954, -0.13532426953315735, 0.9464029669761658)","(0.2823870778083801, 0.9191978573799133, -0.11834722757339478, 0.7881834506988525)",CROUCH
5.522147178649902,"(0.31416448950767517, 0.49446284770965576, -0.3294098377227783, 0.9999921917915344)","(0.3189915418624878, 0.4725125730037689, -0.31879478693008423, 0.9999826550483704)","(0.3226267695426941, 0.4709778130054474, -0.3188093304634094, 0.9999820590019226)","(0.32594603300094604, 0.4698573648929596, -0.31888166069984436, 0.9999806880950928)","(0.30699437856674194, 0.4753580391407013, -0.3209417164325714, 0.9999829530715942)","(0.3027178645133972, 0.47599852085113525, -0.32102474570274353, 0.9999829530715942)","(0.2984786033630371, 0.4765307903289795, -0.32105547189712524, 0.9999816417694092)","(0.3285904824733734, 0.46971961855888367, -0.24054093658924103, 0.9999651312828064)","(0.28942686319351196, 0.4788704216480255, -0.24729478359222412, 0.9999777674674988)","(0.3205341696739197, 0.5102031230926514, -0.2959875762462616, 0.9999973773956299)","(0.30618909001350403, 0.5141903758049011, -0.2989577353000641, 0.9999975562095642)","(0.3572731912136078, 0.5460270047187805, -0.18817096948623657, 0.9999804496765137)","(0.2583940625190735, 0.5609996914863586, -0.2214745581150055, 0.999921441078186)","(0.37453433871269226, 0.6864014863967896, -0.21619336307048798, 0.9939019680023193)","(0.2581251263618469, 0.7027971148490906, -0.2544407248497009, 0.9941436648368835)","(0.35698696970939636, 0.8223292827606201, -0.28545206785202026, 0.9824410676956177)","(0.30730873346328735, 0.8230271935462952, -0.30018749833106995, 0.9720920324325562)","(0.3600848913192749, 0.86302649974823, -0.31743910908699036, 0.957390546798706)","(0.3135603070259094, 0.8630493879318237, -0.3286897540092468, 0.9363428354263306)","(0.34691131114959717, 0.8609323501586914, -0.3302118182182312, 0.9583238959312439)","(0.32709911465644836, 0.8580703139305115, -0.33899158239364624, 0.9356403946876526)","(0.3436727821826935, 0.8506633043289185, -0.29177147150039673, 0.9484742283821106)","(0.3262377083301544, 0.8451244831085205, -0.3045118451118469, 0.9167248606681824)","(0.341299444437027, 0.7398619055747986, 0.005320058204233646, 0.9998751878738403)","(0.2860676348209381, 0.747302234172821, -0.005283533129841089, 0.9998835921287537)","(0.4019802510738373, 0.7100146412849426, -0.21219642460346222, 0.9858573079109192)","(0.2407558262348175, 0.7531919479370117, -0.28473150730133057, 0.9791181087493896)","(0.35841065645217896, 0.8501769304275513, -0.05593942478299141, 0.9472509026527405)","(0.29013189673423767, 0.8516952395439148, -0.0663745254278183, 0.8032436966896057)","(0.34693643450737, 0.86473149061203, -0.04147446155548096, 0.8602073788642883)","(0.2976544499397278, 0.8582851886749268, -0.04500534385442734, 0.7131749391555786)","(0.37814685702323914, 0.901229202747345, -0.10649355500936508, 0.9340089559555054)","(0.28174275159835815, 0.9155532717704773, -0.10673828423023224, 0.7926692962646484)",CROUCH
5.621511220932007,"(0.3138611614704132, 0.5036883354187012, -0.3410661220550537, 0.9999843835830688)","(0.3181653618812561, 0.48293375968933105, -0.3311857581138611, 0.9999634623527527)","(0.3209739029407501, 0.4814487397670746, -0.3312053382396698, 0.9999593496322632)","(0.3239591717720032, 0.4798716604709625, -0.3312769830226898, 0.9999595284461975)","(0.3066796660423279, 0.4850008189678192, -0.3339296877384186, 0.9999668002128601)","(0.30187591910362244, 0.48495030403137207, -0.3340139389038086, 0.9999638795852661)","(0.2974095642566681, 0.48475757241249084, -0.33405888080596924, 0.9999634027481079)","(0.32743364572525024, 0.47791507840156555, -0.2454220950603485, 0.9998960494995117)","(0.2891193628311157, 0.4850236773490906, -0.25905072689056396, 0.9999485015869141)","(0.3189851641654968, 0.5189002752304077, -0.3061099648475647, 0.9999926090240479)","(0.3054479956626892, 0.5229625105857849, -0.3100636303424835, 0.9999951124191284)","(0.35575467348098755, 0.5515847206115723, -0.19461140036582947, 0.9999550580978394)","(0.25726690888404846, 0.5656633377075195, -0.2277599275112152, 0.9999063611030579)","(0.3662264943122864, 0.6987692713737488, -0.21873271465301514, 0.9906123280525208)","(0.25953084230422974, 0.70950847864151, -0.2585583031177521, 0.9928978085517883)","(0.35710662603378296, 0.8343231081962585, -0.28547102212905884, 0.9772643446922302)","(0.3012811243534088, 0.8325923681259155, -0.29947564005851746, 0.9682960510253906)","(0.36233973503112793, 0.872677206993103, -0.31763526797294617, 0.9487990736961365)","(0.3051435649394989, 0.8704938888549805, -0.3279593586921692, 0.9294828176498413)","(0.3510321378707886, 0.872929036617279, -0.33008161187171936, 0.9500847458839417)","(0.3184681236743927, 0.8687958717346191, -0.3371180593967438, 0.9290900230407715)","(0.3474506437778473, 0.8620657920837402, -0.2921881675720215, 0.9402098059654236)","(0.31927818059921265, 0.8572946190834045, -0.3029455542564392, 0.9101869463920593)","(0.3379107117652893, 0.7502431273460388, 0.00704436469823122, 0.9998480677604675)","(0.2823313772678375, 0.7578765153884888, -0.007029456552118063, 0.9998656511306763)","(0.4019346833229065, 0.7094621062278748, -0.22381651401519775, 0.9804056286811829)","(0.24398906528949738, 0.7493094801902771, -0.28617554903030396, 0.9746264219284058)","(0.35937047004699707, 0.8547227382659912, -0.05635625123977661, 0.9344505071640015)","(0.2873673737049103, 0.864977240562439, -0.08238726854324341, 0.809867799282074)","(0.34741443395614624, 0.8755666017532349, -0.043095722794532776, 0.8509458899497986)","(0.2983318865299225, 0.8655776977539062, -0.062195222824811935, 0.719845175743103)","(0.37836968898773193, 0.9000529050827026, -0.10751602798700333, 0.9221795797348022)","(0.2842443287372589, 0.9142144322395325, -0.1341145634651184, 0.7986884713172913)",CROUCH
5.721638441085815,"(0.3143748342990875, 0.5108833909034729, -0.3945801258087158, 0.9999690651893616)","(0.3184313178062439, 0.49059396982192993, -0.38379839062690735, 0.9999314546585083)","(0.3215347230434418, 0.48938220739364624, -0.3838006556034088, 0.9999206066131592)","(0.3243800103664398, 0.4880506694316864, -0.38391247391700745, 0.9999203681945801)","(0.3070451617240906, 0.491191029548645, -0.3870173990726471, 0.9999435544013977)","(0.3022458553314209, 0.49046143889427185, -0.3871290683746338, 0.999940037727356)","(0.2975659668445587, 0.48980703949928284, -0.3871731758117676, 0.9999435544013977)","(0.32775136828422546, 0.48535779118537903, -0.29222571849823, 0.999769926071167)","(0.288907915353775, 0.4897981882095337, -0.3078138828277588, 0.9999236464500427)","(0.3183550238609314, 0.526994526386261, -0.35714882612228394, 0.9999831914901733)","(0.3055844008922577, 0.5298177003860474, -0.36157339811325073, 0.9999912977218628)","(0.35379135608673096, 0.5523948073387146, -0.2261112481355667, 0.9998939037322998)","(0.2556643486022949, 0.5705893039703369, -0.26231396198272705, 0.9998914003372192)","(0.3733488619327545, 0.6922733783721924, -0.23994489014148712, 0.9852351546287537)","(0.24479439854621887, 0.7114709615707397, -0.28559544682502747, 0.9922773241996765)","(0.36540520191192627, 0.8233457803726196, -0.30688410997390747, 0.9580553770065308)","(0.2898208200931549, 0.8310372829437256, -0.32722118496894836, 0.9622830152511597)","(0.36502805352211, 0.8585477471351624, -0.3350883424282074, 0.9192464351654053)","(0.2931656539440155, 0.870051920413971, -0.35509222745895386, 0.9157073497772217)","(0.35282403230667114, 0.8600922226905823, -0.3488244116306305, 0.9215956926345825)","(0.30666887760162354, 0.8623625040054321, -0.3628632128238678, 0.9159712195396423)","(0.3531002402305603, 0.8495107293128967, -0.3143429458141327, 0.9120141267776489)","(0.3079068660736084, 0.8517706990242004, -0.32998397946357727, 0.8969992995262146)","(0.33699971437454224, 0.7392866611480713, 0.007616234011948109, 0.9997995495796204)","(0.28036949038505554, 0.7446734309196472, -0.007615132723003626, 0.9998409748077393)","(0.39947015047073364, 0.7092375755310059, -0.23022505640983582, 0.974506139755249)","(0.2447364628314972, 0.7502208948135376, -0.2948349416255951, 0.9695868492126465)","(0.3587568402290344, 0.8501325249671936, -0.043830666691064835, 0.9199627637863159)","(0.28466302156448364, 0.8610663414001465, -0.06609638780355453, 0.8133987188339233)","(0.34576350450515747, 0.8700742125511169, -0.02725188061594963, 0.8365582227706909)","(0.29515570402145386, 0.8614744544029236, -0.0437176413834095, 0.7221184968948364)","(0.37739574909210205, 0.8941274881362915, -0.09535972028970718, 0.9061771035194397)","(0.2795981764793396, 0.9064210057258606, -0.11595431715250015, 0.8005498051643372)",CROUCH
5.817571401596069,"(0.3140407204627991, 0.5138616561889648, -0.4232702851295471, 0.9999703764915466)","(0.31847500801086426, 0.49412715435028076, -0.410958856344223, 0.9999353289604187)","(0.3216463327407837, 0.49309954047203064, -0.4109443724155426, 0.9999238848686218)","(0.32452133297920227, 0.4917490780353546, -0.41105547547340393, 0.9999247193336487)","(0.30680543184280396, 0.49448585510253906, -0.4135761857032776, 0.9999474287033081)","(0.30147677659988403, 0.4935932457447052, -0.41368240118026733, 0.999943733215332)","(0.29676634073257446, 0.49274343252182007, -0.4136984348297119, 0.9999475479125977)","(0.32833078503608704, 0.48925983905792236, -0.311548113822937, 0.9997842311859131)","(0.28833454847335815, 0.49250972270965576, -0.3244495391845703, 0.9999290704727173)","(0.3181207478046417, 0.5286753177642822, -0.3834523558616638, 0.9999839663505554)","(0.30516088008880615, 0.5314745306968689, -0.38698557019233704, 0.9999918341636658)","(0.3543836772441864, 0.5523732304573059, -0.25155675411224365, 0.9998872876167297)","(0.25573331117630005, 0.5692391991615295, -0.2714426815509796, 0.9998967051506042)","(0.3781746029853821, 0.689294159412384, -0.28525155782699585, 0.9849711060523987)","(0.22478890419006348, 0.7019433975219727, -0.31769832968711853, 0.9923597574234009)","(0.38404422998428345, 0.8097863793373108, -0.3746764063835144, 0.9533244371414185)","(0.2537837624549866, 0.8217619061470032, -0.3817889988422394, 0.9583996534347534)","(0.3908461928367615, 0.843253493309021, -0.4082099497318268, 0.908798098564148)","(0.2566179633140564, 0.8641274571418762, -0.4124067425727844, 0.9055182337760925)","(0.37888553738594055, 0.8449621200561523, -0.42216190695762634, 0.9115282893180847)","(0.27066341042518616, 0.8571164608001709, -0.42233720421791077, 0.9058645963668823)","(0.3720669150352478, 0.833949625492096, -0.38282543420791626, 0.9005811810493469)","(0.27358904480934143, 0.8425974249839783, -0.3864819407463074, 0.8858970403671265)","(0.3382888436317444, 0.7358675599098206, 0.007317388895899057, 0.999750554561615)","(0.28360411524772644, 0.7431613206863403, -0.007312808185815811, 0.9998257160186768)","(0.38983118534088135, 0.6989092230796814, -0.27017033100128174, 0.9709590077400208)","(0.24516019225120544, 0.7381333112716675, -0.30286991596221924, 0.9673044085502625)","(0.3551802635192871, 0.8495274186134338, -0.044010456651449203, 0.9112822413444519)","(0.28490394353866577, 0.8570523858070374, -0.0818239152431488, 0.8259594440460205)","(0.3418353497982025, 0.8676509261131287, -0.030637379735708237, 0.8307130336761475)","(0.29637542366981506, 0.8654072880744934, -0.061882514506578445, 0.7354356646537781)","(0.37464144825935364, 0.894244909286499, -0.1123024970293045, 0.8979434967041016)","(0.28105753660202026, 0.9077028036117554, -0.1523461639881134, 0.8109753131866455)",CROUCH
5.918164014816284,"(0.3135347366333008, 0.5137856602668762, -0.4354483485221863, 0.9999710917472839)","(0.31791257858276367, 0.4941263794898987, -0.4196254312992096, 0.9999377131462097)","(0.32099226117134094, 0.4929652810096741, -0.41964370012283325, 0.9999253153800964)","(0.32406115531921387, 0.4916226267814636, -0.41977524757385254, 0.9999268651008606)","(0.3067719340324402, 0.4945603609085083, -0.42201724648475647, 0.9999499320983887)","(0.3014550805091858, 0.4936162233352661, -0.42210716009140015, 0.9999458193778992)","(0.2965034246444702, 0.49279943108558655, -0.4221019148826599, 0.9999499917030334)","(0.32812991738319397, 0.48970967531204224, -0.309804767370224, 0.9997907876968384)","(0.2882228493690491, 0.4927911162376404, -0.3217923939228058, 0.9999321103096008)","(0.31807446479797363, 0.5286227464675903, -0.3926140069961548, 0.9999844431877136)","(0.3047933578491211, 0.5314837098121643, -0.3959546685218811, 0.9999922513961792)","(0.3545835614204407, 0.550993025302887, -0.24050621688365936, 0.9998862743377686)","(0.25551387667655945, 0.56999272108078, -0.2617515027523041, 0.9999001026153564)","(0.3979540467262268, 0.66862952709198, -0.27457091212272644, 0.9857218861579895)","(0.2175619900226593, 0.699554443359375, -0.3012312054634094, 0.992818295955658)","(0.41484856605529785, 0.804182767868042, -0.3719765543937683, 0.9529905915260315)","(0.22948208451271057, 0.8291807174682617, -0.3760065734386444, 0.9591752886772156)","(0.42232805490493774, 0.8292213678359985, -0.4036532938480377, 0.9058061242103577)","(0.22837010025978088, 0.8688302040100098, -0.4062417149543762, 0.9049246311187744)","(0.41177454590797424, 0.836418092250824, -0.42023220658302307, 0.9089087843894958)","(0.24312739074230194, 0.8624721765518188, -0.42065173387527466, 0.9054660201072693)","(0.40672922134399414, 0.8259890079498291, -0.3810705244541168, 0.8975226283073425)","(0.2442530393600464, 0.8494411110877991, -0.3825105130672455, 0.8853573799133301)","(0.33487606048583984, 0.7343474626541138, 0.008066744543612003, 0.9997397661209106)","(0.28216755390167236, 0.7400124669075012, -0.008049722760915756, 0.9998154044151306)","(0.38779550790786743, 0.7011346220970154, -0.29795041680336, 0.9709678888320923)","(0.2565736472606659, 0.7397493124008179, -0.3511495888233185, 0.9672761559486389)","(0.35606274008750916, 0.8486778140068054, -0.04623430222272873, 0.9086310267448425)","(0.2862793207168579, 0.8552011251449585, -0.07620759308338165, 0.8370743989944458)","(0.34156447649002075, 0.8656632900238037, -0.02547561004757881, 0.830690860748291)","(0.2972249686717987, 0.8652076721191406, -0.05137785151600838, 0.744896650314331)","(0.3757004141807556, 0.8959322571754456, -0.10951528698205948, 0.8930710554122925)","(0.2814105451107025, 0.907798171043396, -0.1446141004562378, 0.8191266059875488)",CROUCH
