relative_time,NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX,action
2.6226043701171875e-06,"(0.9081512689590454, 0.37705719470977783, -0.045412320643663406, 0.9912996292114258)","(0.9079329371452332, 0.33752524852752686, -0.08419255912303925, 0.9890297651290894)","(0.9109155535697937, 0.3343036472797394, -0.0843188613653183, 0.989893913269043)","(0.9144027829170227, 0.33057209849357605, -0.08437588810920715, 0.9902917146682739)","(0.9070240259170532, 0.34032106399536133, -0.028423279523849487, 0.990023136138916)","(0.9077402353286743, 0.33975452184677124, -0.028467169031500816, 0.9905600547790527)","(0.9090055227279663, 0.33875924348831177, -0.028701480478048325, 0.9917942881584167)","(0.9471012949943542, 0.3189718425273895, -0.1861826628446579, 0.9931036829948425)","(0.9468239545822144, 0.3233286142349243, 0.05945821478962898, 0.9940831065177917)","(0.9286174774169922, 0.4035791754722595, -0.07840468734502792, 0.9905452132225037)","(0.9277927279472351, 0.40619170665740967, -0.006263327784836292, 0.988498330116272)","(0.9840624928474426, 0.5103840231895447, -0.3209690749645233, 0.9942042231559753)","(0.9934661984443665, 0.4894758462905884, 0.21000155806541443, 0.9917058348655701)","(0.970824122428894, 0.8046999573707581, -0.3083081543445587, 0.7785813212394714)","(0.97502601146698, 0.7419264912605286, 0.2692659795284271, 0.12798051536083221)","(0.8519216775894165, 0.8453138470649719, -0.08492014557123184, 0.5779270529747009)","(0.8786741495132446, 0.8240742087364197, 0.1796828955411911, 0.10052130371332169)","(0.8266121745109558, 0.8690949082374573, -0.10443241894245148, 0.5485146641731262)","(0.8447149991989136, 0.8407876491546631, 0.18840599060058594, 0.1026085913181305)","(0.8286519050598145, 0.8349376320838928, -0.08866173774003983, 0.5624473690986633)","(0.8463838696479797, 0.830152153968811, 0.1516776829957962, 0.10744055360555649)","(0.8369060754776001, 0.8264719843864441, -0.07244347780942917, 0.5354722142219543)","(0.8510497212409973, 0.8158655166625977, 0.15665094554424286, 0.1127353310585022)","(1.025541067123413, 1.0172120332717896, -0.16481716930866241, 0.6971832513809204)","(1.0236780643463135, 0.9899553060531616, 0.16565674543380737, 0.7377394437789917)","(0.8761606216430664, 1.1803408861160278, -0.14399130642414093, 0.41890233755111694)","(0.8796642422676086, 1.0924931764602661, 0.22375690937042236, 0.12449263036251068)","(0.9118075370788574, 1.4981368780136108, 0.09789329767227173, 0.17774464190006256)","(0.8924654126167297, 1.5389360189437866, 0.30559486150741577, 0.05680447816848755)","(0.9441014528274536, 1.5397398471832275, 0.11867088079452515, 0.2329435795545578)","(0.9176895022392273, 1.5738468170166016, 0.32610708475112915, 0.1064416691660881)","(0.8554776310920715, 1.598759651184082, 0.07855240255594254, 0.18995030224323273)","(0.8265150189399719, 1.628759741783142, 0.2537982761859894, 0.06204754486680031)",LEFT_STEP
0.00018548965454101562,"(0.9081512689590454, 0.37705719470977783, -0.045412320643663406, 0.9912996292114258)","(0.9079329371452332, 0.33752524852752686, -0.08419255912303925, 0.9890297651290894)","(0.9109155535697937, 0.3343036472797394, -0.0843188613653183, 0.989893913269043)","(0.9144027829170227, 0.33057209849357605, -0.08437588810920715, 0.9902917146682739)","(0.9070240259170532, 0.34032106399536133, -0.028423279523849487, 0.990023136138916)","(0.9077402353286743, 0.33975452184677124, -0.028467169031500816, 0.9905600547790527)","(0.9090055227279663, 0.33875924348831177, -0.028701480478048325, 0.9917942881584167)","(0.9471012949943542, 0.3189718425273895, -0.1861826628446579, 0.9931036829948425)","(0.9468239545822144, 0.3233286142349243, 0.05945821478962898, 0.9940831065177917)","(0.9286174774169922, 0.4035791754722595, -0.07840468734502792, 0.9905452132225037)","(0.9277927279472351, 0.40619170665740967, -0.006263327784836292, 0.988498330116272)","(0.9840624928474426, 0.5103840231895447, -0.3209690749645233, 0.9942042231559753)","(0.9934661984443665, 0.4894758462905884, 0.21000155806541443, 0.9917058348655701)","(0.970824122428894, 0.8046999573707581, -0.3083081543445587, 0.7785813212394714)","(0.97502601146698, 0.7419264912605286, 0.2692659795284271, 0.12798051536083221)","(0.8519216775894165, 0.8453138470649719, -0.08492014557123184, 0.5779270529747009)","(0.8786741495132446, 0.8240742087364197, 0.1796828955411911, 0.10052130371332169)","(0.8266121745109558, 0.8690949082374573, -0.10443241894245148, 0.5485146641731262)","(0.8447149991989136, 0.8407876491546631, 0.18840599060058594, 0.1026085913181305)","(0.8286519050598145, 0.8349376320838928, -0.08866173774003983, 0.5624473690986633)","(0.8463838696479797, 0.830152153968811, 0.1516776829957962, 0.10744055360555649)","(0.8369060754776001, 0.8264719843864441, -0.07244347780942917, 0.5354722142219543)","(0.8510497212409973, 0.8158655166625977, 0.15665094554424286, 0.1127353310585022)","(1.025541067123413, 1.0172120332717896, -0.16481716930866241, 0.6971832513809204)","(1.0236780643463135, 0.9899553060531616, 0.16565674543380737, 0.7377394437789917)","(0.8761606216430664, 1.1803408861160278, -0.14399130642414093, 0.41890233755111694)","(0.8796642422676086, 1.0924931764602661, 0.22375690937042236, 0.12449263036251068)","(0.9118075370788574, 1.4981368780136108, 0.09789329767227173, 0.17774464190006256)","(0.8924654126167297, 1.5389360189437866, 0.30559486150741577, 0.05680447816848755)","(0.9441014528274536, 1.5397398471832275, 0.11867088079452515, 0.2329435795545578)","(0.9176895022392273, 1.5738468170166016, 0.32610708475112915, 0.1064416691660881)","(0.8554776310920715, 1.598759651184082, 0.07855240255594254, 0.18995030224323273)","(0.8265150189399719, 1.628759741783142, 0.2537982761859894, 0.06204754486680031)",LEFT_STEP
0.00027370452880859375,"(0.8780585527420044, 0.37710127234458923, -0.05757557228207588, 0.9920860528945923)","(0.8818179965019226, 0.33991071581840515, -0.09744878113269806, 0.9900274276733398)","(0.8854823112487793, 0.3372149169445038, -0.09745113551616669, 0.9907941222190857)","(0.8892639875411987, 0.33410266041755676, -0.09740778058767319, 0.9911708831787109)","(0.8797900080680847, 0.342486709356308, -0.044035110622644424, 0.9909224510192871)","(0.8815250396728516, 0.34216994047164917, -0.04416798800230026, 0.9914069771766663)","(0.8834313154220581, 0.34132620692253113, -0.044235654175281525, 0.9925504326820374)","(0.9236872792243958, 0.33100903034210205, -0.20944634079933167, 0.9937032461166382)","(0.9234218597412109, 0.333863228559494, 0.02610299549996853, 0.9946265816688538)","(0.8998135328292847, 0.4088600277900696, -0.09454686939716339, 0.9914286136627197)","(0.8974125981330872, 0.41038793325424194, -0.02585170790553093, 0.9895740747451782)","(0.9601536989212036, 0.5470813512802124, -0.33721399307250977, 0.994621753692627)","(0.9860698580741882, 0.49489450454711914, 0.1979760080575943, 0.9924021363258362)","(0.9323393106460571, 0.8427905440330505, -0.3207894563674927, 0.7925972938537598)","(0.9399339556694031, 0.7489646077156067, 0.2674596607685089, 0.12723350524902344)","(0.8009476661682129, 0.8771408200263977, -0.13992246985435486, 0.6047089695930481)","(0.8262624740600586, 0.8283575177192688, 0.22729751467704773, 0.1019154042005539)","(0.7725023031234741, 0.9056316018104553, -0.16117557883262634, 0.5749719738960266)","(0.7958676218986511, 0.850486159324646, 0.23765793442726135, 0.10510832816362381)","(0.7720879316329956, 0.8358210325241089, -0.1445724368095398, 0.5877147316932678)","(0.7883074283599854, 0.844140350818634, 0.18878218531608582, 0.10980919748544693)","(0.7794756293296814, 0.8388358950614929, -0.12723059952259064, 0.5590057969093323)","(0.8005901575088501, 0.8318644762039185, 0.20389887690544128, 0.11534686386585236)","(0.9880796670913696, 1.0493711233139038, -0.1587350219488144, 0.706665575504303)","(1.0056251287460327, 1.0027581453323364, 0.1591964066028595, 0.7441806197166443)","(0.8221080899238586, 1.0229460000991821, -0.1315087378025055, 0.4453718066215515)","(0.8580518960952759, 0.9886054992675781, 0.24253594875335693, 0.13053758442401886)","(0.8259968757629395, 1.2993718385696411, 0.132157102227211, 0.19159699976444244)","(0.836607813835144, 1.2536840438842773, 0.3664282560348511, 0.058216921985149384)","(0.8514048457145691, 1.337642788887024, 0.16370627284049988, 0.24353845417499542)","(0.8514524698257446, 1.3025000095367432, 0.38163942098617554, 0.11360038816928864)","(0.7578493356704712, 1.3551955223083496, 0.2096410095691681, 0.20217326283454895)","(0.7678459882736206, 1.290459156036377, 0.3930925726890564, 0.06572235375642776)",LEFT_STEP
0.05649065971374512,"(0.8780585527420044, 0.37710127234458923, -0.05757557228207588, 0.9920860528945923)","(0.8818179965019226, 0.33991071581840515, -0.09744878113269806, 0.9900274276733398)","(0.8854823112487793, 0.3372149169445038, -0.09745113551616669, 0.9907941222190857)","(0.8892639875411987, 0.33410266041755676, -0.09740778058767319, 0.9911708831787109)","(0.8797900080680847, 0.342486709356308, -0.044035110622644424, 0.9909224510192871)","(0.8815250396728516, 0.34216994047164917, -0.04416798800230026, 0.9914069771766663)","(0.8834313154220581, 0.34132620692253113, -0.044235654175281525, 0.9925504326820374)","(0.9236872792243958, 0.33100903034210205, -0.20944634079933167, 0.9937032461166382)","(0.9234218597412109, 0.333863228559494, 0.02610299549996853, 0.9946265816688538)","(0.8998135328292847, 0.4088600277900696, -0.09454686939716339, 0.9914286136627197)","(0.8974125981330872, 0.41038793325424194, -0.02585170790553093, 0.9895740747451782)","(0.9601536989212036, 0.5470813512802124, -0.33721399307250977, 0.994621753692627)","(0.9860698580741882, 0.49489450454711914, 0.1979760080575943, 0.9924021363258362)","(0.9323393106460571, 0.8427905440330505, -0.3207894563674927, 0.7925972938537598)","(0.9399339556694031, 0.7489646077156067, 0.2674596607685089, 0.12723350524902344)","(0.8009476661682129, 0.8771408200263977, -0.13992246985435486, 0.6047089695930481)","(0.8262624740600586, 0.8283575177192688, 0.22729751467704773, 0.1019154042005539)","(0.7725023031234741, 0.9056316018104553, -0.16117557883262634, 0.5749719738960266)","(0.7958676218986511, 0.850486159324646, 0.23765793442726135, 0.10510832816362381)","(0.7720879316329956, 0.8358210325241089, -0.1445724368095398, 0.5877147316932678)","(0.7883074283599854, 0.844140350818634, 0.18878218531608582, 0.10980919748544693)","(0.7794756293296814, 0.8388358950614929, -0.12723059952259064, 0.5590057969093323)","(0.8005901575088501, 0.8318644762039185, 0.20389887690544128, 0.11534686386585236)","(0.9880796670913696, 1.0493711233139038, -0.1587350219488144, 0.706665575504303)","(1.0056251287460327, 1.0027581453323364, 0.1591964066028595, 0.7441806197166443)","(0.8221080899238586, 1.0229460000991821, -0.1315087378025055, 0.4453718066215515)","(0.8580518960952759, 0.9886054992675781, 0.24253594875335693, 0.13053758442401886)","(0.8259968757629395, 1.2993718385696411, 0.132157102227211, 0.19159699976444244)","(0.836607813835144, 1.2536840438842773, 0.3664282560348511, 0.058216921985149384)","(0.8514048457145691, 1.337642788887024, 0.16370627284049988, 0.24353845417499542)","(0.8514524698257446, 1.3025000095367432, 0.38163942098617554, 0.11360038816928864)","(0.7578493356704712, 1.3551955223083496, 0.2096410095691681, 0.20217326283454895)","(0.7678459882736206, 1.290459156036377, 0.3930925726890564, 0.06572235375642776)",LEFT_STEP
0.056658267974853516,"(0.8780585527420044, 0.37710127234458923, -0.05757557228207588, 0.9920860528945923)","(0.8818179965019226, 0.33991071581840515, -0.09744878113269806, 0.9900274276733398)","(0.8854823112487793, 0.3372149169445038, -0.09745113551616669, 0.9907941222190857)","(0.8892639875411987, 0.33410266041755676, -0.09740778058767319, 0.9911708831787109)","(0.8797900080680847, 0.342486709356308, -0.044035110622644424, 0.9909224510192871)","(0.8815250396728516, 0.34216994047164917, -0.04416798800230026, 0.9914069771766663)","(0.8834313154220581, 0.34132620692253113, -0.044235654175281525, 0.9925504326820374)","(0.9236872792243958, 0.33100903034210205, -0.20944634079933167, 0.9937032461166382)","(0.9234218597412109, 0.333863228559494, 0.02610299549996853, 0.9946265816688538)","(0.8998135328292847, 0.4088600277900696, -0.09454686939716339, 0.9914286136627197)","(0.8974125981330872, 0.41038793325424194, -0.02585170790553093, 0.9895740747451782)","(0.9601536989212036, 0.5470813512802124, -0.33721399307250977, 0.994621753692627)","(0.9860698580741882, 0.49489450454711914, 0.1979760080575943, 0.9924021363258362)","(0.9323393106460571, 0.8427905440330505, -0.3207894563674927, 0.7925972938537598)","(0.9399339556694031, 0.7489646077156067, 0.2674596607685089, 0.12723350524902344)","(0.8009476661682129, 0.8771408200263977, -0.13992246985435486, 0.6047089695930481)","(0.8262624740600586, 0.8283575177192688, 0.22729751467704773, 0.1019154042005539)","(0.7725023031234741, 0.9056316018104553, -0.16117557883262634, 0.5749719738960266)","(0.7958676218986511, 0.850486159324646, 0.23765793442726135, 0.10510832816362381)","(0.7720879316329956, 0.8358210325241089, -0.1445724368095398, 0.5877147316932678)","(0.7883074283599854, 0.844140350818634, 0.18878218531608582, 0.10980919748544693)","(0.7794756293296814, 0.8388358950614929, -0.12723059952259064, 0.5590057969093323)","(0.8005901575088501, 0.8318644762039185, 0.20389887690544128, 0.11534686386585236)","(0.9880796670913696, 1.0493711233139038, -0.1587350219488144, 0.706665575504303)","(1.0056251287460327, 1.0027581453323364, 0.1591964066028595, 0.7441806197166443)","(0.8221080899238586, 1.0229460000991821, -0.1315087378025055, 0.4453718066215515)","(0.8580518960952759, 0.9886054992675781, 0.24253594875335693, 0.13053758442401886)","(0.8259968757629395, 1.2993718385696411, 0.132157102227211, 0.19159699976444244)","(0.836607813835144, 1.2536840438842773, 0.3664282560348511, 0.058216921985149384)","(0.8514048457145691, 1.337642788887024, 0.16370627284049988, 0.24353845417499542)","(0.8514524698257446, 1.3025000095367432, 0.38163942098617554, 0.11360038816928864)","(0.7578493356704712, 1.3551955223083496, 0.2096410095691681, 0.20217326283454895)","(0.7678459882736206, 1.290459156036377, 0.3930925726890564, 0.06572235375642776)",LEFT_STEP
0.05684185028076172,"(0.85205078125, 0.3992074728012085, -0.061217546463012695, 0.9928578734397888)","(0.8577675819396973, 0.3610255718231201, -0.10060527175664902, 0.9909970760345459)","(0.8614904284477234, 0.357635498046875, -0.10067339986562729, 0.9916852712631226)","(0.8655890226364136, 0.35363873839378357, -0.1006791815161705, 0.9920303225517273)","(0.8564561605453491, 0.3646044433116913, -0.045716915279626846, 0.9918051362037659)","(0.8587819933891296, 0.36440032720565796, -0.04580492526292801, 0.9922412633895874)","(0.8612679243087769, 0.3635859191417694, -0.04587838053703308, 0.9932779669761658)","(0.9002670049667358, 0.3500768840312958, -0.21154570579528809, 0.9943035244941711)","(0.8979385495185852, 0.357332706451416, 0.048890311270952225, 0.9951457381248474)","(0.875892162322998, 0.42696067690849304, -0.09508916735649109, 0.9922687411308289)","(0.8741272687911987, 0.4324367940425873, -0.02671998366713524, 0.9905968308448792)","(0.9456888437271118, 0.549106240272522, -0.37078770995140076, 0.9950932264328003)","(0.9644791483879089, 0.5349446535110474, 0.23100216686725616, 0.9930848479270935)","(0.8922274708747864, 0.855129599571228, -0.3757559657096863, 0.8050035834312439)","(0.9025739431381226, 0.8086363673210144, 0.28074216842651367, 0.12628328800201416)","(0.7801192402839661, 0.9733248949050903, -0.16473548114299774, 0.6271775960922241)","(0.8006436228752136, 0.925483763217926, 0.20591945946216583, 0.0990331843495369)","(0.7668769955635071, 1.028815507888794, -0.20703694224357605, 0.5949192047119141)","(0.764679491519928, 0.981017529964447, 0.21197791397571564, 0.10212398320436478)","(0.7552765607833862, 0.998592734336853, -0.21343986690044403, 0.6066608428955078)","(0.7695440053939819, 0.9558048844337463, 0.16457638144493103, 0.10654495656490326)","(0.7633693814277649, 0.9779257774353027, -0.16633746027946472, 0.5749922394752502)","(0.7816876173019409, 0.9438961744308472, 0.18111592531204224, 0.11224490404129028)","(0.9738144874572754, 1.072459101676941, -0.1656194031238556, 0.6835552453994751)","(0.9765905141830444, 1.0389012098312378, 0.16598165035247803, 0.7289226055145264)","(0.8254649043083191, 0.9214584231376648, -0.15370626747608185, 0.45969048142433167)","(0.8562778234481812, 0.8996909260749817, 0.23797264695167542, 0.12936140596866608)","(0.7714070677757263, 1.1031242609024048, 0.12811711430549622, 0.19381259381771088)","(0.7952374815940857, 1.0513367652893066, 0.36589208245277405, 0.056689538061618805)","(0.7805572748184204, 1.1495524644851685, 0.154972106218338, 0.24219292402267456)","(0.7947070598602295, 1.1019033193588257, 0.37814438343048096, 0.11222740262746811)","(0.7041999101638794, 1.0698952674865723, 0.20357003808021545, 0.202654168009758)","(0.7326753735542297, 1.0042104721069336, 0.362801730632782, 0.06563503295183182)",LEFT_STEP
0.11330342292785645,"(0.85205078125, 0.3992074728012085, -0.061217546463012695, 0.9928578734397888)","(0.8577675819396973, 0.3610255718231201, -0.10060527175664902, 0.9909970760345459)","(0.8614904284477234, 0.357635498046875, -0.10067339986562729, 0.9916852712631226)","(0.8655890226364136, 0.35363873839378357, -0.1006791815161705, 0.9920303225517273)","(0.8564561605453491, 0.3646044433116913, -0.045716915279626846, 0.9918051362037659)","(0.8587819933891296, 0.36440032720565796, -0.04580492526292801, 0.9922412633895874)","(0.8612679243087769, 0.3635859191417694, -0.04587838053703308, 0.9932779669761658)","(0.9002670049667358, 0.3500768840312958, -0.21154570579528809, 0.9943035244941711)","(0.8979385495185852, 0.357332706451416, 0.048890311270952225, 0.9951457381248474)","(0.875892162322998, 0.42696067690849304, -0.09508916735649109, 0.9922687411308289)","(0.8741272687911987, 0.4324367940425873, -0.02671998366713524, 0.9905968308448792)","(0.9456888437271118, 0.549106240272522, -0.37078770995140076, 0.9950932264328003)","(0.9644791483879089, 0.5349446535110474, 0.23100216686725616, 0.9930848479270935)","(0.8922274708747864, 0.855129599571228, -0.3757559657096863, 0.8050035834312439)","(0.9025739431381226, 0.8086363673210144, 0.28074216842651367, 0.12628328800201416)","(0.7801192402839661, 0.9733248949050903, -0.16473548114299774, 0.6271775960922241)","(0.8006436228752136, 0.925483763217926, 0.20591945946216583, 0.0990331843495369)","(0.7668769955635071, 1.028815507888794, -0.20703694224357605, 0.5949192047119141)","(0.764679491519928, 0.981017529964447, 0.21197791397571564, 0.10212398320436478)","(0.7552765607833862, 0.998592734336853, -0.21343986690044403, 0.6066608428955078)","(0.7695440053939819, 0.9558048844337463, 0.16457638144493103, 0.10654495656490326)","(0.7633693814277649, 0.9779257774353027, -0.16633746027946472, 0.5749922394752502)","(0.7816876173019409, 0.9438961744308472, 0.18111592531204224, 0.11224490404129028)","(0.9738144874572754, 1.072459101676941, -0.1656194031238556, 0.6835552453994751)","(0.9765905141830444, 1.0389012098312378, 0.16598165035247803, 0.7289226055145264)","(0.8254649043083191, 0.9214584231376648, -0.15370626747608185, 0.45969048142433167)","(0.8562778234481812, 0.8996909260749817, 0.23797264695167542, 0.12936140596866608)","(0.7714070677757263, 1.1031242609024048, 0.12811711430549622, 0.19381259381771088)","(0.7952374815940857, 1.0513367652893066, 0.36589208245277405, 0.056689538061618805)","(0.7805572748184204, 1.1495524644851685, 0.154972106218338, 0.24219292402267456)","(0.7947070598602295, 1.1019033193588257, 0.37814438343048096, 0.11222740262746811)","(0.7041999101638794, 1.0698952674865723, 0.20357003808021545, 0.202654168009758)","(0.7326753735542297, 1.0042104721069336, 0.362801730632782, 0.06563503295183182)",LEFT_STEP
0.11336803436279297,"(0.85205078125, 0.3992074728012085, -0.061217546463012695, 0.9928578734397888)","(0.8577675819396973, 0.3610255718231201, -0.10060527175664902, 0.9909970760345459)","(0.8614904284477234, 0.357635498046875, -0.10067339986562729, 0.9916852712631226)","(0.8655890226364136, 0.35363873839378357, -0.1006791815161705, 0.9920303225517273)","(0.8564561605453491, 0.3646044433116913, -0.045716915279626846, 0.9918051362037659)","(0.8587819933891296, 0.36440032720565796, -0.04580492526292801, 0.9922412633895874)","(0.8612679243087769, 0.3635859191417694, -0.04587838053703308, 0.9932779669761658)","(0.9002670049667358, 0.3500768840312958, -0.21154570579528809, 0.9943035244941711)","(0.8979385495185852, 0.357332706451416, 0.048890311270952225, 0.9951457381248474)","(0.875892162322998, 0.42696067690849304, -0.09508916735649109, 0.9922687411308289)","(0.8741272687911987, 0.4324367940425873, -0.02671998366713524, 0.9905968308448792)","(0.9456888437271118, 0.549106240272522, -0.37078770995140076, 0.9950932264328003)","(0.9644791483879089, 0.5349446535110474, 0.23100216686725616, 0.9930848479270935)","(0.8922274708747864, 0.855129599571228, -0.3757559657096863, 0.8050035834312439)","(0.9025739431381226, 0.8086363673210144, 0.28074216842651367, 0.12628328800201416)","(0.7801192402839661, 0.9733248949050903, -0.16473548114299774, 0.6271775960922241)","(0.8006436228752136, 0.925483763217926, 0.20591945946216583, 0.0990331843495369)","(0.7668769955635071, 1.028815507888794, -0.20703694224357605, 0.5949192047119141)","(0.764679491519928, 0.981017529964447, 0.21197791397571564, 0.10212398320436478)","(0.7552765607833862, 0.998592734336853, -0.21343986690044403, 0.6066608428955078)","(0.7695440053939819, 0.9558048844337463, 0.16457638144493103, 0.10654495656490326)","(0.7633693814277649, 0.9779257774353027, -0.16633746027946472, 0.5749922394752502)","(0.7816876173019409, 0.9438961744308472, 0.18111592531204224, 0.11224490404129028)","(0.9738144874572754, 1.072459101676941, -0.1656194031238556, 0.6835552453994751)","(0.9765905141830444, 1.0389012098312378, 0.16598165035247803, 0.7289226055145264)","(0.8254649043083191, 0.9214584231376648, -0.15370626747608185, 0.45969048142433167)","(0.8562778234481812, 0.8996909260749817, 0.23797264695167542, 0.12936140596866608)","(0.7714070677757263, 1.1031242609024048, 0.12811711430549622, 0.19381259381771088)","(0.7952374815940857, 1.0513367652893066, 0.36589208245277405, 0.056689538061618805)","(0.7805572748184204, 1.1495524644851685, 0.154972106218338, 0.24219292402267456)","(0.7947070598602295, 1.1019033193588257, 0.37814438343048096, 0.11222740262746811)","(0.7041999101638794, 1.0698952674865723, 0.20357003808021545, 0.202654168009758)","(0.7326753735542297, 1.0042104721069336, 0.362801730632782, 0.06563503295183182)",LEFT_STEP
0.11342787742614746,"(0.84185791015625, 0.4001672863960266, -0.014025919139385223, 0.9935682415962219)","(0.8500185012817383, 0.3643321990966797, -0.04470701143145561, 0.9918927550315857)","(0.8543278574943542, 0.36051830649375916, -0.04487239941954613, 0.9925130009651184)","(0.8591369390487671, 0.35604986548423767, -0.04498234763741493, 0.9928234815597534)","(0.8451414108276367, 0.37096863985061646, 0.01126488670706749, 0.9926204085350037)","(0.8458389043807983, 0.3721632957458496, 0.011211417615413666, 0.9930135011672974)","(0.8466734886169434, 0.37267163395881653, 0.011086603626608849, 0.9939466118812561)","(0.8917540311813354, 0.35573339462280273, -0.13343530893325806, 0.9948703646659851)","(0.8779932856559753, 0.37181249260902405, 0.11911217868328094, 0.9956288933753967)","(0.8606518507003784, 0.4224357306957245, -0.042792461812496185, 0.9930350184440613)","(0.855353057384491, 0.4314364492893219, 0.02940652333199978, 0.9915259480476379)","(0.9527104496955872, 0.531893789768219, -0.26415568590164185, 0.9955424070358276)","(0.9236389398574829, 0.5773308873176575, 0.2490135133266449, 0.99365234375)","(0.919365406036377, 0.8412607908248901, -0.31358903646469116, 0.8106521368026733)","(0.9136282801628113, 0.8473002314567566, 0.2942552864551544, 0.1231963038444519)","(0.8584715127944946, 1.0403940677642822, -0.266972154378891, 0.6256601214408875)","(0.8549981117248535, 1.0132075548171997, 0.19423364102840424, 0.09613213688135147)","(0.859336256980896, 1.0971903800964355, -0.3105514943599701, 0.5907369256019592)","(0.8347911834716797, 1.0614901781082153, 0.19765208661556244, 0.09965266287326813)","(0.8373511433601379, 1.0851696729660034, -0.3034260869026184, 0.6022499799728394)","(0.8304257392883301, 1.046807050704956, 0.15165244042873383, 0.10441695153713226)","(0.8354704976081848, 1.062531590461731, -0.26361560821533203, 0.5699914693832397)","(0.8382919430732727, 1.0294520854949951, 0.16918553411960602, 0.11032889783382416)","(0.9882736206054688, 1.0445997714996338, -0.16433557868003845, 0.6975559592247009)","(0.9442728161811829, 1.0397677421569824, 0.1647266447544098, 0.7421083450317383)","(0.93827885389328, 0.9964854717254639, -0.2610456347465515, 0.4672654867172241)","(0.864707350730896, 1.0792464017868042, 0.10508318245410919, 0.13979853689670563)","(0.8732210993766785, 1.294861912727356, -0.09289287030696869, 0.19040721654891968)","(0.8438103795051575, 1.297999620437622, 0.16987644135951996, 0.055948399007320404)","(0.878177285194397, 1.40581214427948, -0.08270902931690216, 0.23861221969127655)","(0.8435690999031067, 1.3568114042282104, 0.17257055640220642, 0.11278725415468216)","(0.7441571354866028, 1.1536459922790527, -0.17231324315071106, 0.19937759637832642)","(0.7938450574874878, 1.2653446197509766, 0.10251563787460327, 0.06548646837472916)",LEFT_STEP
0.17020559310913086,"(0.84185791015625, 0.4001672863960266, -0.014025919139385223, 0.9935682415962219)","(0.8500185012817383, 0.3643321990966797, -0.04470701143145561, 0.9918927550315857)","(0.8543278574943542, 0.36051830649375916, -0.04487239941954613, 0.9925130009651184)","(0.8591369390487671, 0.35604986548423767, -0.04498234763741493, 0.9928234815597534)","(0.8451414108276367, 0.37096863985061646, 0.01126488670706749, 0.9926204085350037)","(0.8458389043807983, 0.3721632957458496, 0.011211417615413666, 0.9930135011672974)","(0.8466734886169434, 0.37267163395881653, 0.011086603626608849, 0.9939466118812561)","(0.8917540311813354, 0.35573339462280273, -0.13343530893325806, 0.9948703646659851)","(0.8779932856559753, 0.37181249260902405, 0.11911217868328094, 0.9956288933753967)","(0.8606518507003784, 0.4224357306957245, -0.042792461812496185, 0.9930350184440613)","(0.855353057384491, 0.4314364492893219, 0.02940652333199978, 0.9915259480476379)","(0.9527104496955872, 0.531893789768219, -0.26415568590164185, 0.9955424070358276)","(0.9236389398574829, 0.5773308873176575, 0.2490135133266449, 0.99365234375)","(0.919365406036377, 0.8412607908248901, -0.31358903646469116, 0.8106521368026733)","(0.9136282801628113, 0.8473002314567566, 0.2942552864551544, 0.1231963038444519)","(0.8584715127944946, 1.0403940677642822, -0.266972154378891, 0.6256601214408875)","(0.8549981117248535, 1.0132075548171997, 0.19423364102840424, 0.09613213688135147)","(0.859336256980896, 1.0971903800964355, -0.3105514943599701, 0.5907369256019592)","(0.8347911834716797, 1.0614901781082153, 0.19765208661556244, 0.09965266287326813)","(0.8373511433601379, 1.0851696729660034, -0.3034260869026184, 0.6022499799728394)","(0.8304257392883301, 1.046807050704956, 0.15165244042873383, 0.10441695153713226)","(0.8354704976081848, 1.062531590461731, -0.26361560821533203, 0.5699914693832397)","(0.8382919430732727, 1.0294520854949951, 0.16918553411960602, 0.11032889783382416)","(0.9882736206054688, 1.0445997714996338, -0.16433557868003845, 0.6975559592247009)","(0.9442728161811829, 1.0397677421569824, 0.1647266447544098, 0.7421083450317383)","(0.93827885389328, 0.9964854717254639, -0.2610456347465515, 0.4672654867172241)","(0.864707350730896, 1.0792464017868042, 0.10508318245410919, 0.13979853689670563)","(0.8732210993766785, 1.294861912727356, -0.09289287030696869, 0.19040721654891968)","(0.8438103795051575, 1.297999620437622, 0.16987644135951996, 0.055948399007320404)","(0.878177285194397, 1.40581214427948, -0.08270902931690216, 0.23861221969127655)","(0.8435690999031067, 1.3568114042282104, 0.17257055640220642, 0.11278725415468216)","(0.7441571354866028, 1.1536459922790527, -0.17231324315071106, 0.19937759637832642)","(0.7938450574874878, 1.2653446197509766, 0.10251563787460327, 0.06548646837472916)",LEFT_STEP
